Column1,Column2
http://dbpedia.org/resource/Azizan_Abdul_Razak,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Ion_Gigurtu,http://dbpedia.org/ontology/party
"http://dbpedia.org/resource/Frank_Beswick,_Baron_Beswick",http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Lorenzo_D._Lewelling,http://dbpedia.org/ontology/party
"http://dbpedia.org/resource/Peter_Temple-Morris,_Baron_Temple-Morris",http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Mohamed_Boudiaf,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Zahrain_Mohamed_Hashim,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/James_Fowler_(Australian_politician),http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Maria_Ciobanu,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/John_M._Palmer_(politician),http://dbpedia.org/ontology/party
http://dbpedia.org/resource/John_M._Palmer_(politician),http://dbpedia.org/ontology/militaryBranch
http://dbpedia.org/resource/Jan_Elias_Nicolaas_Schimmelpenninck_van_der_Oye,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/John_Lyng,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/John_M._Zwach,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Vilma_Santos,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Vilma_Santos,http://dbpedia.org/ontology/spouse
http://dbpedia.org/resource/GetÃºlio_Vargas,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/GetÃºlio_Vargas,http://dbpedia.org/ontology/religion
http://dbpedia.org/resource/James_McLachlan_(Australian_politician),http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Angela_Vautour,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Frank_Steunenberg,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Jacques_Parizeau,http://dbpedia.org/ontology/spouse
http://dbpedia.org/resource/Gustav_Wilhelm_Wolff,http://dbpedia.org/ontology/religion
http://dbpedia.org/resource/Henry_Dodge,http://dbpedia.org/ontology/militaryRank
http://dbpedia.org/resource/Stephen_Urban,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Lon_Nol,http://dbpedia.org/ontology/country
http://dbpedia.org/resource/Ilona_Staller__Ilona_Staller__1,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Presidency_of_NÃ©stor_Kirchner,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Gert_Schutte,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Vernon_Reed,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Maurie_Sheehy,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/James_Robert_Mann_(South_Carolina),http://dbpedia.org/ontology/militaryBranch
http://dbpedia.org/resource/Dominique_de_Villepin,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Vito_Marcantonio,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/George_Wise,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Tony_Smith_(Queensland_politician),http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Edward_Russell_(Australian_politician),http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Stephen_W._Kearny,http://dbpedia.org/ontology/militaryRank
http://dbpedia.org/resource/Lamberto_Dini,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Valeriu_Nemerenco,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Levi_Eshkol,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Thomas_Metcalfe_(Kentucky),http://dbpedia.org/ontology/party
http://dbpedia.org/resource/MÃ¡tyÃ¡s_RÃ¡kosi,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Barnaby_Joyce,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Lafayette_S._Foster,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Bob_Stoker,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Suzanne_DÃ©carie,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Liza_Frulla,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Pierre_Gagnier,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Stipe_Å uvar,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Amanda_Fazio,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Archie_Cameron,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Fred_Dubois,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Joseph_Jackson_(Australian_politician),http://dbpedia.org/ontology/party
http://dbpedia.org/resource/JÃ¡nos_KÃ¡dÃ¡r,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Zaid_Ibrahim,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Reg_Wright,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Alfredo_Rocco,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Michael_Applebaum,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Albert_Field,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/James_Jackson_(Georgia_politician),http://dbpedia.org/ontology/party
http://dbpedia.org/resource/James_Thorington,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Jan_Steytler,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Alikhan_Bukeikhanov,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Daniel_Cohn-Bendit,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/John_Cushnahan,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Eugene_Puryear,http://dbpedia.org/ontology/party
"http://dbpedia.org/resource/Ronnie_Fearn,_Baron_Fearn",http://dbpedia.org/ontology/party
http://dbpedia.org/resource/John_Clemons,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/William_Senior_(politician),http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Ronald_SÃ¸rensen,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Isaac_P._Christiancy,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/John_Hayes_(Australian_politician),http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Alvin_Greene,http://dbpedia.org/ontology/militaryBranch
http://dbpedia.org/resource/Ivan_Welsh,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/John_Allison_(Representative),http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Raja_Nong_Chik_Zainal_Abidin,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Beniamino_Andreatta,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/George_John_Bell,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Pavlo_Teteria,http://dbpedia.org/ontology/religion
http://dbpedia.org/resource/Steve_Hutchins,http://dbpedia.org/ontology/spouse
http://dbpedia.org/resource/MaryAnn_Mihychuk,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Edward_S._Bragg,http://dbpedia.org/ontology/country
http://dbpedia.org/resource/Edward_S._Bragg,http://dbpedia.org/ontology/militaryBranch
http://dbpedia.org/resource/John_Rarick,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Joyce_Butler,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Lucien_Anderson,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Theodorus_Bailey_(politician),http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Claiborne_Pell,http://dbpedia.org/ontology/militaryRank
http://dbpedia.org/resource/Claiborne_Pell,http://dbpedia.org/ontology/militaryBranch
http://dbpedia.org/resource/Borisav_JoviÄ‡,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Gavan_O'Connor,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Richard_Buzacott,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Shukri_al-Quwatli,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Jack_Cremean,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Bill_Carlton,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/John_F._Shafroth,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Savka_DabÄeviÄ‡-KuÄar,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Karen_Casey,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Ratliff_Boon,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Coos_Huijsen,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Saifuddin_Nasution_Ismail,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Earl_Desmond,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Laurent-DÃ©sirÃ©_Kabila,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Ben_Stewart,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Adam_Matusiewicz,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/John_Keating_(Australian_politician),http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Louis_A._Frothingham,http://dbpedia.org/ontology/militaryRank
http://dbpedia.org/resource/Louis_A._Frothingham,http://dbpedia.org/ontology/militaryBranch
http://dbpedia.org/resource/Edmund_G._Ross,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Hans_MÃ¼hlenfeld,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Ernesto_Ueltschi,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Lorne_Mayencourt,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Emory_Folmar,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Nathaniel_P._Tallmadge,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/John_Cartwright_(British_politician),http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Carl_Hayden,http://dbpedia.org/ontology/militaryBranch
http://dbpedia.org/resource/Charles-EugÃ¨ne_Dionne,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Andrew_Gregg_Curtin,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Anwara_Taimur,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Tancredo_Neves,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Alfred_Vierling,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/JosÃ©_Octavio_BordÃ³n,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Allen_Bell,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/AgustÃ­n_Pedro_Justo,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/MiklÃ³s_KÃ¡llay,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/James_Fenton_(Australian_politician),http://dbpedia.org/ontology/party
