subject,property,current_or_latest,start_time
Shankar_Pratap_Singh_Bundela,party,,
Andrea_Renzi_(basketball),position,,
Dick_Dodson,position,,
Trond_Hegna,party,,
Clark_Griffith,position,,
Haitam_Aleesami,position,,
Kenny_Gregory,position,,
Alfred_H._Littlefield,party,,
Claude_O'Flaherty,country,,
Jevgenija_Lisicina,nationality,,
Tracie_McGovern,position,,
Hubie_White,position,,
Teresa_Heinz,party,,
Ed_Ratleff,position,,
Alan_Davidson_(Australian_footballer),position,,
Juan_Bernat,position,,
Pusapati_Vijayarama_Gajapati_Raju,party,,
Charles_Owsley,country,,
Hilde_Levi,nationality,,
Rick_Mahorn,position,,
Reader_W._Clarke,party,,
Sam_Willaman,position,,
Stephen_Stenning,country,,
Myrddin_ap_Dafydd,country,,
Richard_Justin_Lado,position,,
Valeri_Umnov,position,,
Alun_Richards,country,,
Richard_Gordon_(broadcaster),country,,
Vladimir_Kostyuk,position,,
Lionel_Billingy,position,,
Deirdre_Clune,party,,
Simwnt_Fychan,country,,
Jake_Howells,position,,
Alfred_Fyodorov,position,,
Kirill_Romanov,position,,
Matthew_Mbuta,position,,
Amadou_Salifou,party,Nigerien Party for Democracy and Socialism,2013
Adnan_Menderes,party,,
Rodney_Mazion,position,,
Peter_Blundell,nationality,,
Edward_Russell_(Australian_politician),party,Nationalist Party of Australia,1917
Oleg_Polyarush,position,,
Fotios_Papadopoulos,position,,
Nnamdi_Azikiwe,spouse,New Zealand First,1996
Tosaint_Ricketts,position,,
Calen_Carr,position,,
Clint_Easton,position,,
Anne_Savage_(DJ),nationality,,
Marc_Aryan,nationality,,
Yamon_Figurs,position,,
Nikolas_Tsattalios,position,,
Bernard_Spindel,nationality,,
Ciro_Gomes,party,Democratic Labour Party (Brazil),2015
Salvador_Breglia,position,,
Derek_Dougan,position,,
George_Balanchine,spouse,,
RW_Kember,position,,
Ariel_Zapata,position,,
Daniel_Keller,position,,
Thomas_Kelly_(Irish_politician),party,,
Charlotte_Merriam,spouse,,
Annabella_(actress),spouse,,
Charles_H._Taylor_(publisher),country,,
Guy_Ferri,nationality,,
Grace_Bussell,spouse,,
B._G._Dyess,party,,
Jon_Midttun_Lie,position,,
Stephan_Gusche,position,,
Ali_Karimi,position,,
Thomas_Blacklock,country,,
Dick_Todd_(American_football),position,,
Lisa_Milne,country,,
John_Wilson_(basketball),position,,
David_Tosul,party,Land and Justice Party,2013
Shana_Hiatt,spouse,,
Segun_Toyin_Dawodu,nationality,,
Boris_Dobashin,position,,
Haji_Nurul_Islam,party,All India Trinamool Congress,1997
John_H._Wilson_(Hawaii),nationality,,
Vitali_Ushakov,position,,
Adil_Ramzi,position,,
Becky_Edwards_(soccer),position,,
Thomas_Seamer,spouse,"Matthew Marvin, Sr.",1653
David_Wilmot,party,,
Debra_Winger,spouse,,
Oleg_Gubanov,position,,
Sue-Anne_Webster,spouse,,
Oleg_Bykov,position,,
Kostas_Fortounis,position,,
Sonny_Leitch,country,,
Helen_P._Clarke,nationality,,
Cristian_Galano,position,,
Gwilym_Rhyfel,country,,
Elizabeth_Bacon_(died_1621),spouse,,
Aleksandr_Petrovich_Korolyov,position,,
