subject,property,current_or_latest,start_time
James_David_Santini,party,,
Lou_Adler,spouse,Shelley_Fabares,1964-01-01T00:00:00Z
Vigor_Brown,party,,
Gurbanguly_Berdimuhamedow,party,,
Billy_Graham,party,,
Mustafa_Tlass,party,,
Anjo_Yllana,party,,
Jennifer_Aniston,spouse,Justin_Theroux,2015-08-05T00:00:00Z
Ewan_MacColl,spouse,Joan_Littlewood,1934-01-01T00:00:00Z
Gideon_Welles,party,,
Paul_Filing,party,,
Gail_Chanfreau,country,,
Walker_Hamilton,country,,
Adrienne_Ellis,spouse,Michael_Anderson_(director),1977-05-25T00:00:00Z
John_McCook,spouse,Laurette_Spang-McCook,1980-01-01T00:00:00Z
Lilyan_Tashman,spouse,Edmund_Lowe,1925-01-01T00:00:00Z
T._S._Eliot,spouse,Valerie_Eliot,1957-01-10T00:00:00Z
Otto_Grotewohl,party,,
Ambroise_Dupont,party,,
Yang_Xian,country,,
Nelson_Mandela,spouse,Graça_Machel,1998-07-18T00:00:00Z
Lidia_Semenova,country,,
Emperor_Yang_of_Sui,spouse,,
Bruce_Eastick,party,,
Samuel_W._Small,party,,
Alexander_Lukashenko,party,Communist_Party_of_the_Soviet_Union,1979-01-01T00:00:00Z
Catherine_Procaccia,party,,
Maurie_Sheehy,party,,
Mario_Mauro,party,,
Gregorio_Sablan,party,,
Hong_Taiji,spouse,,
Roel_Degamo,party,,
George_Galloway,party,Respect_Party,2004-01-01T00:00:00Z
Gabriele_D'Annunzio,party,,
Elwin_Hermanson,party,,
Allen_Bell,party,,
Stockard_Channing,spouse,David_Debin,1976-12-20T00:00:00Z
Licio_Gelli,party,,
Malusi_Gigaba,party,,
Hugo_Hickmann,party,,
Agnes_of_Germany,spouse,,
Harris_Salleh,party,,
William_Thomas_(Gwilym_Marles),country,,
George_Rockingham_Gilmer,party,,
Louis_Fortin,party,,
Jeanne_Moreau,spouse,William_Friedkin,1977-02-08T00:00:00Z
Gruoch_of_Scotland,spouse,,
Elizabeth_Chamber,spouse,,
Gustav_Siemon,party,,
W._J._Gruffydd_(Elerydd),country,,
Daviz_Simango,party,,
Maud_de_Prendergast,spouse,,
John_Stewart_(Western_Australian_politician),party,,
Mark_Zuckerberg,spouse,Priscilla_Chan_(philanthropist),2012-05-19T00:00:00Z
Abraham_Andrews_Barker,party,,
John_Burton_(priest),country,,
Manono_II,spouse,,
Robert_Boal,party,,
Hermann_Winkler,party,,
Luther_Bradish,party,,
Richard_Kerrin,country,,
Mike_Todd,spouse,Elizabeth_Taylor,1957-02-02T00:00:00Z
Harry_Davenport_(actor),spouse,Phyllis_Rankin,1896-01-01T00:00:00Z
Jorge_de_Castro_Font,party,,
Lorenzo_Sumulong,party,,
James_Longmuir,country,,
Murdoch_Mackenzie_(cartographer),country,,
Silvia_Pinal,spouse,Enrique_Guzmán,1967-01-01T00:00:00Z
Frederick_Augustus_II_of_Saxony,spouse,,
Dora_Bakoyannis,party,,
Sultan_Ahmed_(politician),party,,
