Column1,Column2,Column3
Sean_Chambers,college,Cal Poly Mustangs men's basketball
Angelo_Tsagarakis,college,Cal Poly Pomona Broncos men's basketball
DeRonn_Scott,college,Cal Poly Pomona Broncos men's basketball
Kebu_Stewart,college,Cal State Bakersfield Roadrunners men's basketball
Ramel_Curry,college,Cal State Bakersfield Roadrunners men's basketball
Vance_Walberg,college,Cal State Bakersfield Roadrunners men's basketball
Eric_Crookshank,college,Cal State Dominguez Hills Toros
Cedric_Ceballos,college,Cal State Fullerton Titans men's basketball
D._J._Seeley,college,Cal State Fullerton Titans men's basketball
Josh_Akognon,college,Cal State Fullerton Titans men's basketball
Kerry_Boagni,college,Cal State Fullerton Titans men's basketball
Kevin_Henderson_(basketball),college,Cal State Fullerton Titans men's basketball
Leon_Wood,college,Cal State Fullerton Titans men's basketball
Marcio_Lassiter,college,Cal State Fullerton Titans men's basketball
Ozell_Jones,college,Cal State Fullerton Titans men's basketball
Pape_Sow,college,Cal State Fullerton Titans men's basketball
Mike_Jackson_(basketball),college,Cal State LA
Jordan_Richard,college,Cal State Los Angeles Golden Eagles
Davin_White,college,Cal State Northridge Matadors men's basketball
Jason_Crowe_(basketball),college,Cal State Northridge Matadors men's basketball
Michael_Efevberha,college,Cal State Northridge Matadors men's basketball
Paul_McCracken_(basketball),college,Cal State Northridge Matadors men's basketball
Ivan_Johnson_(basketball),college,Cal State San Bernardino Coyotes
Kwame_Alexander_(basketball),college,Cal State San Bernardino Coyotes
Bill_McClintock,college,California Golden Bears men's basketball
Denny_Fitzpatrick,college,California Golden Bears men's basketball
Ed_Gray,college,California Golden Bears men's basketball
Francisco_Elson,college,California Golden Bears men's basketball
Geno_Carlisle,college,California Golden Bears men's basketball
Jamal_Boykin,college,California Golden Bears men's basketball
Justin_Cobbs,college,California Golden Bears men's basketball
Kevin_Langford,college,California Golden Bears men's basketball
Larry_Friend,college,California Golden Bears men's basketball
Mark_McNamara,college,California Golden Bears men's basketball
Nihan_Anaz,college,California Golden Bears women's basketball
Rex_Kalamian,college,"California State Polytechnic University, Pomona"
Arthur_Trousdell,college,Cameron University
Eric_Griffin_(basketball),college,Campbell Fighting Camels basketball
William_Kossangue,college,Campbell Fighting Camels basketball
Billy_Baron,college,Canisius Golden Griffins men's basketball
Larry_Fogle,college,Canisius Golden Griffins men's basketball
Red_Holzman,college,CCNY Beavers men's basketball
Andrew_Wisniewski,college,Centenary Gentlemen basketball
Connie_Rea,college,Centenary Gentlemen basketball
Larry_Robinson_(basketball),college,Centenary Gentlemen basketball
Link_Abrams,college,Centenary Gentlemen basketball
Nate_Bowie,college,Central Arkansas Bears basketball
Jim_McElroy,college,Central Michigan Chippewas men's basketball
Nate_Huffman,college,Central Michigan Chippewas men's basketball
Eddie_Robinson_(basketball),college,Central Oklahoma Bronchos
Mack_Tuck,college,Central Oklahoma Bronchos
Mohamed_Tangara,college,Chaminade Silverswords
Al_Brightman,college,Charleston
Eric_Burks,college,Charleston Southern Buccaneers men's basketball
Mathiang_Muo,college,Charleston Southern Buccaneers men's basketball
Tony_Fairley,college,Charleston Southern Buccaneers men's basketball
Galen_Young,college,Charlotte 49ers men's basketball
Lamont_Mack,college,Charlotte 49ers men's basketball
Sean_Colson,college,Charlotte 49ers men's basketball
Chad_Copeland,college,Chattanooga Mocs basketball
Gerald_Wilkins,college,Chattanooga Mocs basketball
Johnny_Taylor_(basketball),college,Chattanooga Mocs basketball
Keddric_Mays,college,Chattanooga Mocs basketball
Keith_Nelson_(basketball),college,Chattanooga Mocs basketball
Mindaugas_Katelynas,college,Chattanooga Mocs basketball
Russ_Schoene,college,Chattanooga Mocs basketball
Tim_Brooks_(basketball),college,Chattanooga Mocs basketball
Darius_Paul,college,Chicago
Darron_Brittman,college,Chicago State Cougars men's basketball
Tony_Weeden,college,Chicago State Cougars men's basketball
Adam_Hrycaniuk,college,Cincinnati Bearcats men's basketball
Corie_Blount,college,Cincinnati Bearcats men's basketball
Gary_Yoder,college,Cincinnati Bearcats men's basketball
Ibrahima_Thomas,college,Cincinnati Bearcats men's basketball
Immanuel_McElroy,college,Cincinnati Bearcats men's basketball
James_White_(basketball),college,Cincinnati Bearcats men's basketball
Pete_Mickeal,college,Cincinnati Bearcats men's basketball
Ruben_Patterson,college,Cincinnati Bearcats men's basketball
Tony_Bobbitt,college,Cincinnati Bearcats men's basketball
JR_Buensuceso,college,Citrus College
McKenzie_Moore,college,City College of San Francisco
Marvin_Phillips,college,Claflin University
Brandon_Robinson_(basketball),college,Clayton State University
Billy_Williams_(basketball),college,Clemson Tigers men's basketball
Chris_Whitney,college,Clemson Tigers men's basketball
Cedric_Jackson,college,Cleveland State Vikings men's basketball
Clinton_Smith_(basketball),college,Cleveland State Vikings men's basketball
Kevin_Racal,college,Colegio de San Juan de Letran
Mike_Ferrara,college,Colgate Raiders men's basketball
Jody_Lumpkin,college,College of Charleston Cougars men's basketball
Mike_Homik,college,College of Idaho
Alex_Stivrins,college,Colorado Buffaloes men's basketball
Carlon_Brown,college,Colorado Buffaloes men's basketball
Jaquay_Walls,college,Colorado Buffaloes men's basketball
Joe_Cooper_(basketball),college,Colorado Buffaloes men's basketball
Marcus_Relphorde,college,Colorado Buffaloes men's basketball
Andy_Ogide,college,Colorado State Rams men's basketball
Bob_Rule,college,Colorado State Rams men's basketball
Colton_Iverson,college,Colorado State Rams men's basketball
John_O'Boyle,college,Colorado State Rams men's basketball
Milt_Palacio,college,Colorado State Rams men's basketball
Red_Dehnert,college,Columbia Lions men's basketball
Taylor_King,college,Concordia
Chuck_Aleksinas,college,Connecticut Huskies men's basketball
Jimmy_Foster_(basketball),college,Connecticut Huskies men's basketball
Lasan_Kromah,college,Connecticut Huskies men's basketball
Akeem_Ellis,college,Coppin State Eagles men's basketball
Joe_Pace,college,Coppin State Eagles men's basketball
Julian_King_(basketball),college,Coppin State Eagles men's basketball
Terquin_Mott,college,Coppin State Eagles men's basketball
Alex_Compton,college,Cornell Big Red men's basketball
Booker_Woodfox,college,Creighton Bluejays men's basketball
Elton_McGriff,college,Creighton Bluejays men's basketball
Gregory_Echenique,college,Creighton Bluejays men's basketball
subject,property,current_or_latest
Simon_Farine,college,Dalhousie
Larry_Killick,college,Dartmouth Big Green men's basketball
Jordan_Sibert,college,Dayton Flyers men's basketball
Kevin_Dillard,college,Dayton Flyers men's basketball
Robert_Lowery_(basketball),college,Dayton Flyers men's basketball
Sedric_Toney,college,Dayton Flyers men's basketball
Ricardo_Brown_(basketball),college,De La Salle Green Archers
Jason_Perkins,college,De La Salle University
Jerwin_Gaco,college,De La Salle University
Harding_Nana,college,Delaware Fightin' Blue Hens men's basketball
Marc_Egerson,college,Delaware Fightin' Blue Hens men's basketball
Jay_Threatt,college,Delaware State Hornets men's basketball
Jeremy_Richardson,college,Delta State University
Byron_Beck,college,Denver Pioneers men's basketball
Vince_Boryla,college,Denver Pioneers men's basketball
Delonte_Holland,college,DePaul Blue Demons men's basketball
Kevin_Edwards,college,DePaul Blue Demons men's basketball
Sam_Hoskin,college,DePaul Blue Demons men's basketball
Kim_Williams_(basketball),college,DePaul Blue Demons women's basketball
Brian_Alexander_(basketball),college,Detroit Titans men's basketball
Chase_Simon,college,Detroit Titans men's basketball
Earl_Cureton,college,Detroit Titans men's basketball
Jason_Bennett_(basketball),college,Detroit Titans men's basketball
Nick_Minnerath,college,Detroit Titans men's basketball
Spencer_Haywood,college,Detroit Titans men's basketball
Rasheim_Wright,college,District of Columbia
Al_Stewart_(basketball),college,Drake Bulldogs men's basketball
Curt_Smith_(basketball),college,Drake Bulldogs men's basketball
Dennis_Bell_(basketball),college,Drake Bulldogs men's basketball
Hal_Jeter,college,Drake Bulldogs men's basketball
Jeff_Halliburton,college,Drake Bulldogs men's basketball
