Person,Property,Type,rn,rel_rate
http://dbpedia.org/resource/Makati_Avenue,location,City,85,**
http://dbpedia.org/resource/23rd_Street_(Manhattan),location,City,85,1
http://dbpedia.org/resource/Parkway_Village_(Queens),location,City,85,1
http://dbpedia.org/resource/Wall_and_Hanover_Building,location,City,85,1
http://dbpedia.org/resource/St._Peter's_Roman_Catholic_Church_(Manhattan),location,City,85,1
http://dbpedia.org/resource/Camp_Zama,location,City,85,**
http://dbpedia.org/resource/Kumlinge_Airfield,location,Country,85,**
"http://dbpedia.org/resource/Travellers_Rest_(Nashville,_Tennessee)",location,City,85,**
http://dbpedia.org/resource/Ward-Nasse_Gallery,location,City,85,1
http://dbpedia.org/resource/Trinity_Church_Cemetery,location,City,85,1
http://dbpedia.org/resource/Greenhills_Shopping_Center,location,City,85,**
"http://dbpedia.org/resource/Mandarin_Oriental,_New_York",location,City,85,1
http://dbpedia.org/resource/SM_City_Sucat,location,City,85,**
http://dbpedia.org/resource/Pico_Boulevard,location,City,85,**
http://dbpedia.org/resource/Greenboro_Station,type,PublicTransit104018951,85,**
"http://dbpedia.org/resource/Church_of_St._Luke_and_St._Matthew_(Brooklyn,_New_York)",location,City,85,1
http://dbpedia.org/resource/Our_Lady_of_Solace's_Church_(Bronx),location,City,85,1
http://dbpedia.org/resource/Shizuoka_Airport,location,City,85,**
"http://dbpedia.org/resource/Christ_the_King's_Church_(Bronx,_New_York)",location,City,85,1
http://dbpedia.org/resource/Nova_Pazova_City_Stadium,location,Country,85,**
http://dbpedia.org/resource/Septemvri-Dobrinishte_narrow_gauge_line,location,MountainRange,85,**
"http://dbpedia.org/resource/St._Raymond's_Church_(Bronx,_New_York)",location,City,85,1
http://dbpedia.org/resource/Tokyo_Racecourse,location,City,85,**
http://dbpedia.org/resource/IAC_Building,location,City,85,1
http://dbpedia.org/resource/Elmer_Holmes_Bobst_Library,location,City,85,1
http://dbpedia.org/resource/Estrella_Flyover,location,City,85,**
http://dbpedia.org/resource/Park_Slope_Jewish_Center,location,City,85,1
http://dbpedia.org/resource/50th_Street_(Manhattan),location,City,85,1
http://dbpedia.org/resource/Bouwerie_Lane_Theatre,location,City,85,1
http://dbpedia.org/resource/SmartTrack,location,City,85,**
http://dbpedia.org/resource/Robinsons_Novaliches,location,City,85,**
http://dbpedia.org/resource/Central_Park_Tower,location,City,85,1
http://dbpedia.org/resource/Katsushika_Symphony_Hills,location,City,85,**
http://dbpedia.org/resource/Church_of_the_Guardian_Angel_(Manhattan),location,City,85,1
http://dbpedia.org/resource/Constantine's_Bridge_(Danube),locatedInArea,Country,85,**
"http://dbpedia.org/resource/St._Luke's_Church_(Bronx,_New_York)",location,City,85,1
http://dbpedia.org/resource/Western_railway_elevated_corridor,location,City,85,**
http://dbpedia.org/resource/Yellow_Line_(Delhi_Metro),location,City,85,**
http://dbpedia.org/resource/Blue_and_Green_Lines_(Cleveland),location,City,85,**
http://dbpedia.org/resource/Millan_House,location,City,85,1
http://dbpedia.org/resource/Museum_of_Bad_Art,location,City,85,**
http://dbpedia.org/resource/Museum_of_Bad_Art,location,Town,85,**
http://dbpedia.org/resource/Park_Row_Building,location,City,85,1
http://dbpedia.org/resource/Ghibli_Museum,location,City,85,**
http://dbpedia.org/resource/Leeds_Whitehall_railway_station,location,City,85,**
http://dbpedia.org/resource/SM_City_Manila,location,City,85,**
http://dbpedia.org/resource/Tajik–Afghan_bridge_at_Tem-Demogan,locatedInArea,Country,85,**
http://dbpedia.org/resource/Potter_Building,location,City,85,1
http://dbpedia.org/resource/Yankee_Stadium_(1923),location,City,85,1
http://dbpedia.org/resource/New_Europe_Bridge,locatedInArea,Country,85,**
http://dbpedia.org/resource/Church_of_St._Mary_the_Virgin_(Manhattan),location,City,85,1
http://dbpedia.org/resource/Varick_Street,location,City,85,1
http://dbpedia.org/resource/Estrella_Street,location,City,85,**
http://dbpedia.org/resource/Annunciation_Church_New_York,location,City,85,1
http://dbpedia.org/resource/JR_Tōzai_Line,location,City,85,**
http://dbpedia.org/resource/Węgliniec–Roßlau_railway,location,Country,85,**
http://dbpedia.org/resource/Verizon_Building,location,City,85,1
http://dbpedia.org/resource/Church_of_the_Holy_Communion_and_Buildings,location,City,85,1
http://dbpedia.org/resource/Brooklyn–Battery_Tunnel,location,City,85,1
http://dbpedia.org/resource/American_Academy_in_Rome,location,Country,85,**
http://dbpedia.org/resource/MacDougal-Sullivan_Gardens_Historic_District,location,City,85,1
http://dbpedia.org/resource/Donghae_Nambu_Line,location,City,85,**
http://dbpedia.org/resource/Alpena_County_Regional_Airport,location,Town,85,**
http://dbpedia.org/resource/Temple_Court_Building_and_Annex,location,City,85,1
http://dbpedia.org/resource/Highway_427_BRT,location,City,85,**
http://dbpedia.org/resource/St._Alphonsus_Ligouri's_Church_(New_York_City),location,City,85,1
http://dbpedia.org/resource/Marble_Collegiate_Church,location,City,85,1
http://dbpedia.org/resource/Port_Moller_Airport,owner,GovernmentAgency,85,**
http://dbpedia.org/resource/Brandenburg-Briest_Solarpark,location,Town,85,**
http://dbpedia.org/resource/Tokyo_Metropolitan_Teien_Art_Museum,location,City,85,**
http://dbpedia.org/resource/Church_for_All_Nations,location,City,85,1
http://dbpedia.org/resource/St._Nicholas_of_Tolentine_Church_(Bronx),location,City,85,1
http://dbpedia.org/resource/Funambule_funicular,location,Country,85,**
http://dbpedia.org/resource/Rawang_railway_station,type,RailwayLine,85,**
http://dbpedia.org/resource/Rawang_railway_station,type,Location,85,**
http://dbpedia.org/resource/World_Trade_Center_(Tokyo),location,City,85,**
http://dbpedia.org/resource/Irving_Plaza,location,City,85,1
http://dbpedia.org/resource/Ohi_Racecourse,location,City,85,**
http://dbpedia.org/resource/Chester_A._Arthur_Home,location,City,85,1
http://dbpedia.org/resource/BMT_Broadway_Line,location,City,85,1
http://dbpedia.org/resource/Floyd_Bennett_Field,location,City,85,1
http://dbpedia.org/resource/Roger_Smith_Hotel,location,City,85,1
http://dbpedia.org/resource/Omega_(navigation_system),location,City,85,**
http://dbpedia.org/resource/Robbins_&_Appleton_Building,location,City,85,1
http://dbpedia.org/resource/The_Apthorp,location,City,85,1
http://dbpedia.org/resource/Fifth_Avenue,location,City,85,1
http://dbpedia.org/resource/730_Park_Avenue,location,City,85,1
http://dbpedia.org/resource/St._Margaret_Mary's_Church_(Bronx),location,City,85,1
http://dbpedia.org/resource/Queens–Midtown_Tunnel,location,City,85,**
http://dbpedia.org/resource/Harbin–Mudanjiang_Intercity_Railway,location,City,85,**
http://dbpedia.org/resource/Butte–Anaconda_Historic_District,location,City,85,**
http://dbpedia.org/resource/Former_18th_Police_Precinct_Station_House_and_Stable,location,City,85,1
http://dbpedia.org/resource/Millennium_Center,location,Country,85,**
http://dbpedia.org/resource/Aqueduct_Racetrack,location,City,85,1
